Event,Desc
UNC_M_POWER_CKE_CYCLES.RANK6,"Number of cycles spent in CKE ON mode.  The filter allows you to select a rank to monitor.  If multiple ranks are in CKE ON mode at one time, the counter will ONLY increment by one rather than doing accumulation.  Multiple counters will need to be used to track multiple ranks simultaneously.  There is no distinction between the different CKE modes (APD, PPDS, PPDF).  This can be determined based on the system programming.  These events should commonly be used with Invert to get the number of cycles in power saving mode.  Edge Detect is also useful here.  Make sure that you do NOT use Invert with Edge Detect (this just confuses the system and is not necessary)."
UNC_M_POWER_CKE_CYCLES.RANK7,"Number of cycles spent in CKE ON mode.  The filter allows you to select a rank to monitor.  If multiple ranks are in CKE ON mode at one time, the counter will ONLY increment by one rather than doing accumulation.  Multiple counters will need to be used to track multiple ranks simultaneously.  There is no distinction between the different CKE modes (APD, PPDS, PPDF).  This can be determined based on the system programming.  These events should commonly be used with Invert to get the number of cycles in power saving mode.  Edge Detect is also useful here.  Make sure that you do NOT use Invert with Edge Detect (this just confuses the system and is not necessary)."
UNC_M_POWER_CRITICAL_THROTTLE_CYCLES,"Counts the number of cycles when the iMC is in critical thermal throttling.  When this happens, all traffic is blocked.  This should be rare unless something bad is going on in the platform.  There is no filtering by rank for this event."
UNC_M_POWER_PCU_THROTTLING,
UNC_M_POWER_SELF_REFRESH,"Counts the number of cycles when the iMC is in self-refresh and the iMC still has a clock.  This happens in some package C-states.  For example, the PCU may ask the iMC to enter self-refresh even though some of the cores are still processing.  One use of this is for Monroe technology.  Self-refresh is required during package C3 and C6, but there is no clock in the iMC at this time, so it is not possible to count these cases."
UNC_M_POWER_THROTTLE_CYCLES.RANK0,"Counts the number of cycles while the iMC is being throttled by either thermal constraints or by the PCU throttling.  It is not possible to distinguish between the two.  This can be filtered by rank.  If multiple ranks are selected and are being throttled at the same time, the counter will only increment by 1.; Thermal throttling is performed per DIMM.  We support 3 DIMMs per channel.  This ID allows us to filter by ID."
UNC_M_POWER_THROTTLE_CYCLES.RANK1,"Counts the number of cycles while the iMC is being throttled by either thermal constraints or by the PCU throttling.  It is not possible to distinguish between the two.  This can be filtered by rank.  If multiple ranks are selected and are being throttled at the same time, the counter will only increment by 1."
UNC_M_POWER_THROTTLE_CYCLES.RANK2,"Counts the number of cycles while the iMC is being throttled by either thermal constraints or by the PCU throttling.  It is not possible to distinguish between the two.  This can be filtered by rank.  If multiple ranks are selected and are being throttled at the same time, the counter will only increment by 1."
UNC_M_POWER_THROTTLE_CYCLES.RANK3,"Counts the number of cycles while the iMC is being throttled by either thermal constraints or by the PCU throttling.  It is not possible to distinguish between the two.  This can be filtered by rank.  If multiple ranks are selected and are being throttled at the same time, the counter will only increment by 1."
UNC_M_POWER_THROTTLE_CYCLES.RANK4,"Counts the number of cycles while the iMC is being throttled by either thermal constraints or by the PCU throttling.  It is not possible to distinguish between the two.  This can be filtered by rank.  If multiple ranks are selected and are being throttled at the same time, the counter will only increment by 1."
UNC_M_POWER_THROTTLE_CYCLES.RANK5,"Counts the number of cycles while the iMC is being throttled by either thermal constraints or by the PCU throttling.  It is not possible to distinguish between the two.  This can be filtered by rank.  If multiple ranks are selected and are being throttled at the same time, the counter will only increment by 1."
UNC_M_POWER_THROTTLE_CYCLES.RANK6,"Counts the number of cycles while the iMC is being throttled by either thermal constraints or by the PCU throttling.  It is not possible to distinguish between the two.  This can be filtered by rank.  If multiple ranks are selected and are being throttled at the same time, the counter will only increment by 1."
UNC_M_POWER_THROTTLE_CYCLES.RANK7,"Counts the number of cycles while the iMC is being throttled by either thermal constraints or by the PCU throttling.  It is not possible to distinguish between the two.  This can be filtered by rank.  If multiple ranks are selected and are being throttled at the same time, the counter will only increment by 1."
UNC_M_PRE_COUNT.BYP,Counts the number of DRAM Precharge commands sent on this channel.
UNC_M_PRE_COUNT.PAGE_CLOSE,Counts the number of DRAM Precharge commands sent on this channel.; Counts the number of DRAM Precharge commands sent on this channel as a result of the page close counter expiring.  This does not include implicit precharge commands sent in auto-precharge mode.
UNC_M_PRE_COUNT.PAGE_MISS,Counts the number of DRAM Precharge commands sent on this channel.; Counts the number of DRAM Precharge commands sent on this channel as a result of page misses.  This does not include explicit precharge commands sent with CAS commands in Auto-Precharge mode.  This does not include PRE commands sent as a result of the page close counter expiration.
UNC_M_PRE_COUNT.RD,Counts the number of DRAM Precharge commands sent on this channel.
UNC_M_PRE_COUNT.WR,Counts the number of DRAM Precharge commands sent on this channel.
UNC_M_PREEMPTION.RD_PREEMPT_RD,"Counts the number of times a read in the iMC preempts another read or write.  Generally reads to an open page are issued ahead of requests to closed pages.  This improves the page hit rate of the system.  However, high priority requests can cause pages of active requests to be closed in order to get them out.  This will reduce the latency of the high-priority request at the expense of lower bandwidth and increased overall average latency.; Filter for when a read preempts another read."
UNC_M_PREEMPTION.RD_PREEMPT_WR,"Counts the number of times a read in the iMC preempts another read or write.  Generally reads to an open page are issued ahead of requests to closed pages.  This improves the page hit rate of the system.  However, high priority requests can cause pages of active requests to be closed in order to get them out.  This will reduce the latency of the high-priority request at the expense of lower bandwidth and increased overall average latency.; Filter for when a read preempts a write."
UNC_M_RD_CAS_PRIO.HIGH,Read CAS issued with HIGH priority
UNC_M_RD_CAS_PRIO.LOW,Read CAS issued with LOW priority
UNC_M_RD_CAS_PRIO.MED,Read CAS issued with MEDIUM priority
UNC_M_RD_CAS_PRIO.PANIC,Read CAS issued with PANIC NON ISOCH priority (starved)
UNC_M_RD_CAS_RANK0.ALLBANKS,RD_CAS Access to Rank 0; All Banks
UNC_M_RD_CAS_RANK0.BANK0,RD_CAS Access to Rank 0; Bank 0
UNC_M_RD_CAS_RANK0.BANK1,RD_CAS Access to Rank 0; Bank 1
UNC_M_RD_CAS_RANK0.BANK10,RD_CAS Access to Rank 0; Bank 10
UNC_M_RD_CAS_RANK0.BANK11,RD_CAS Access to Rank 0; Bank 11
UNC_M_RD_CAS_RANK0.BANK12,RD_CAS Access to Rank 0; Bank 12
UNC_M_RD_CAS_RANK0.BANK13,RD_CAS Access to Rank 0; Bank 13
UNC_M_RD_CAS_RANK0.BANK14,RD_CAS Access to Rank 0; Bank 14
UNC_M_RD_CAS_RANK0.BANK15,RD_CAS Access to Rank 0; Bank 15
UNC_M_RD_CAS_RANK0.BANK2,RD_CAS Access to Rank 0; Bank 2
UNC_M_RD_CAS_RANK0.BANK3,RD_CAS Access to Rank 0; Bank 3
UNC_M_RD_CAS_RANK0.BANK4,RD_CAS Access to Rank 0; Bank 4
UNC_M_RD_CAS_RANK0.BANK5,RD_CAS Access to Rank 0; Bank 5
UNC_M_RD_CAS_RANK0.BANK6,RD_CAS Access to Rank 0; Bank 6
UNC_M_RD_CAS_RANK0.BANK7,RD_CAS Access to Rank 0; Bank 7
UNC_M_RD_CAS_RANK0.BANK8,RD_CAS Access to Rank 0; Bank 8
UNC_M_RD_CAS_RANK0.BANK9,RD_CAS Access to Rank 0; Bank 9
UNC_M_RD_CAS_RANK0.BANKG0,RD_CAS Access to Rank 0; Bank Group 0 (Banks 0-3)
UNC_M_RD_CAS_RANK0.BANKG1,RD_CAS Access to Rank 0; Bank Group 1 (Banks 4-7)
UNC_M_RD_CAS_RANK0.BANKG2,RD_CAS Access to Rank 0; Bank Group 2 (Banks 8-11)
UNC_M_RD_CAS_RANK0.BANKG3,RD_CAS Access to Rank 0; Bank Group 3 (Banks 12-15)
UNC_M_RD_CAS_RANK1.ALLBANKS,RD_CAS Access to Rank 1; All Banks
UNC_M_RD_CAS_RANK1.BANK0,RD_CAS Access to Rank 1; Bank 0
UNC_M_RD_CAS_RANK1.BANK1,RD_CAS Access to Rank 1; Bank 1
UNC_M_RD_CAS_RANK1.BANK10,RD_CAS Access to Rank 1; Bank 10
UNC_M_RD_CAS_RANK1.BANK11,RD_CAS Access to Rank 1; Bank 11
UNC_M_RD_CAS_RANK1.BANK12,RD_CAS Access to Rank 1; Bank 12
UNC_M_RD_CAS_RANK1.BANK13,RD_CAS Access to Rank 1; Bank 13
UNC_M_RD_CAS_RANK1.BANK14,RD_CAS Access to Rank 1; Bank 14
UNC_M_RD_CAS_RANK1.BANK15,RD_CAS Access to Rank 1; Bank 15
UNC_M_RD_CAS_RANK1.BANK2,RD_CAS Access to Rank 1; Bank 2
UNC_M_RD_CAS_RANK1.BANK3,RD_CAS Access to Rank 1; Bank 3
UNC_M_RD_CAS_RANK1.BANK4,RD_CAS Access to Rank 1; Bank 4
UNC_M_RD_CAS_RANK1.BANK5,RD_CAS Access to Rank 1; Bank 5
UNC_M_RD_CAS_RANK1.BANK6,RD_CAS Access to Rank 1; Bank 6
UNC_M_RD_CAS_RANK1.BANK7,RD_CAS Access to Rank 1; Bank 7
UNC_M_RD_CAS_RANK1.BANK8,RD_CAS Access to Rank 1; Bank 8
UNC_M_RD_CAS_RANK1.BANK9,RD_CAS Access to Rank 1; Bank 9
UNC_M_RD_CAS_RANK1.BANKG0,RD_CAS Access to Rank 1; Bank Group 0 (Banks 0-3)
UNC_M_RD_CAS_RANK1.BANKG1,RD_CAS Access to Rank 1; Bank Group 1 (Banks 4-7)
UNC_M_RD_CAS_RANK1.BANKG2,RD_CAS Access to Rank 1; Bank Group 2 (Banks 8-11)
UNC_M_RD_CAS_RANK1.BANKG3,RD_CAS Access to Rank 1; Bank Group 3 (Banks 12-15)
UNC_M_RD_CAS_RANK2.BANK0,RD_CAS Access to Rank 2; Bank 0
UNC_M_RD_CAS_RANK4.ALLBANKS,RD_CAS Access to Rank 4; All Banks
UNC_M_RD_CAS_RANK4.BANK0,RD_CAS Access to Rank 4; Bank 0
UNC_M_RD_CAS_RANK4.BANK1,RD_CAS Access to Rank 4; Bank 1
UNC_M_RD_CAS_RANK4.BANK10,RD_CAS Access to Rank 4; Bank 10
UNC_M_RD_CAS_RANK4.BANK11,RD_CAS Access to Rank 4; Bank 11
UNC_M_RD_CAS_RANK4.BANK12,RD_CAS Access to Rank 4; Bank 12
UNC_M_RD_CAS_RANK4.BANK13,RD_CAS Access to Rank 4; Bank 13
UNC_M_RD_CAS_RANK4.BANK14,RD_CAS Access to Rank 4; Bank 14
UNC_M_RD_CAS_RANK4.BANK15,RD_CAS Access to Rank 4; Bank 15
UNC_M_RD_CAS_RANK4.BANK2,RD_CAS Access to Rank 4; Bank 2
UNC_M_RD_CAS_RANK4.BANK3,RD_CAS Access to Rank 4; Bank 3
UNC_M_RD_CAS_RANK4.BANK4,RD_CAS Access to Rank 4; Bank 4
UNC_M_RD_CAS_RANK4.BANK5,RD_CAS Access to Rank 4; Bank 5
UNC_M_RD_CAS_RANK4.BANK6,RD_CAS Access to Rank 4; Bank 6
UNC_M_RD_CAS_RANK4.BANK7,RD_CAS Access to Rank 4; Bank 7
UNC_M_RD_CAS_RANK4.BANK8,RD_CAS Access to Rank 4; Bank 8
UNC_M_RD_CAS_RANK4.BANK9,RD_CAS Access to Rank 4; Bank 9
UNC_M_RD_CAS_RANK4.BANKG0,RD_CAS Access to Rank 4; Bank Group 0 (Banks 0-3)
UNC_M_RD_CAS_RANK4.BANKG1,RD_CAS Access to Rank 4; Bank Group 1 (Banks 4-7)
UNC_M_RD_CAS_RANK4.BANKG2,RD_CAS Access to Rank 4; Bank Group 2 (Banks 8-11)
UNC_M_RD_CAS_RANK4.BANKG3,RD_CAS Access to Rank 4; Bank Group 3 (Banks 12-15)
UNC_M_RD_CAS_RANK5.ALLBANKS,RD_CAS Access to Rank 5; All Banks
UNC_M_RD_CAS_RANK5.BANK0,RD_CAS Access to Rank 5; Bank 0
UNC_M_RD_CAS_RANK5.BANK1,RD_CAS Access to Rank 5; Bank 1
UNC_M_RD_CAS_RANK5.BANK10,RD_CAS Access to Rank 5; Bank 10
UNC_M_RD_CAS_RANK5.BANK11,RD_CAS Access to Rank 5; Bank 11
UNC_M_RD_CAS_RANK5.BANK12,RD_CAS Access to Rank 5; Bank 12
UNC_M_RD_CAS_RANK5.BANK13,RD_CAS Access to Rank 5; Bank 13
UNC_M_RD_CAS_RANK5.BANK14,RD_CAS Access to Rank 5; Bank 14
UNC_M_RD_CAS_RANK5.BANK15,RD_CAS Access to Rank 5; Bank 15
UNC_M_RD_CAS_RANK5.BANK2,RD_CAS Access to Rank 5; Bank 2
UNC_M_RD_CAS_RANK5.BANK3,RD_CAS Access to Rank 5; Bank 3
UNC_M_RD_CAS_RANK5.BANK4,RD_CAS Access to Rank 5; Bank 4
UNC_M_RD_CAS_RANK5.BANK5,RD_CAS Access to Rank 5; Bank 5
UNC_M_RD_CAS_RANK5.BANK6,RD_CAS Access to Rank 5; Bank 6
UNC_M_RD_CAS_RANK5.BANK7,RD_CAS Access to Rank 5; Bank 7
UNC_M_RD_CAS_RANK5.BANK8,RD_CAS Access to Rank 5; Bank 8
UNC_M_RD_CAS_RANK5.BANK9,RD_CAS Access to Rank 5; Bank 9
UNC_M_RD_CAS_RANK5.BANKG0,RD_CAS Access to Rank 5; Bank Group 0 (Banks 0-3)
UNC_M_RD_CAS_RANK5.BANKG1,RD_CAS Access to Rank 5; Bank Group 1 (Banks 4-7)
UNC_M_RD_CAS_RANK5.BANKG2,RD_CAS Access to Rank 5; Bank Group 2 (Banks 8-11)
UNC_M_RD_CAS_RANK5.BANKG3,RD_CAS Access to Rank 5; Bank Group 3 (Banks 12-15)
UNC_M_RD_CAS_RANK6.ALLBANKS,RD_CAS Access to Rank 6; All Banks
UNC_M_RD_CAS_RANK6.BANK0,RD_CAS Access to Rank 6; Bank 0
UNC_M_RD_CAS_RANK6.BANK1,RD_CAS Access to Rank 6; Bank 1
UNC_M_RD_CAS_RANK6.BANK10,RD_CAS Access to Rank 6; Bank 10
UNC_M_RD_CAS_RANK6.BANK11,RD_CAS Access to Rank 6; Bank 11
UNC_M_RD_CAS_RANK6.BANK12,RD_CAS Access to Rank 6; Bank 12
UNC_M_RD_CAS_RANK6.BANK13,RD_CAS Access to Rank 6; Bank 13
UNC_M_RD_CAS_RANK6.BANK14,RD_CAS Access to Rank 6; Bank 14
UNC_M_RD_CAS_RANK6.BANK15,RD_CAS Access to Rank 6; Bank 15
UNC_M_RD_CAS_RANK6.BANK2,RD_CAS Access to Rank 6; Bank 2
UNC_M_RD_CAS_RANK6.BANK3,RD_CAS Access to Rank 6; Bank 3
UNC_M_RD_CAS_RANK6.BANK4,RD_CAS Access to Rank 6; Bank 4
UNC_M_RD_CAS_RANK6.BANK5,RD_CAS Access to Rank 6; Bank 5
UNC_M_RD_CAS_RANK6.BANK6,RD_CAS Access to Rank 6; Bank 6
UNC_M_RD_CAS_RANK6.BANK7,RD_CAS Access to Rank 6; Bank 7
UNC_M_RD_CAS_RANK6.BANK8,RD_CAS Access to Rank 6; Bank 8
UNC_M_RD_CAS_RANK6.BANK9,RD_CAS Access to Rank 6; Bank 9
UNC_M_RD_CAS_RANK6.BANKG0,RD_CAS Access to Rank 6; Bank Group 0 (Banks 0-3)
UNC_M_RD_CAS_RANK6.BANKG1,RD_CAS Access to Rank 6; Bank Group 1 (Banks 4-7)
UNC_M_RD_CAS_RANK6.BANKG2,RD_CAS Access to Rank 6; Bank Group 2 (Banks 8-11)
UNC_M_RD_CAS_RANK6.BANKG3,RD_CAS Access to Rank 6; Bank Group 3 (Banks 12-15)
UNC_M_RD_CAS_RANK7.ALLBANKS,RD_CAS Access to Rank 7; All Banks
UNC_M_RD_CAS_RANK7.BANK0,RD_CAS Access to Rank 7; Bank 0
UNC_M_RD_CAS_RANK7.BANK1,RD_CAS Access to Rank 7; Bank 1
UNC_M_RD_CAS_RANK7.BANK10,RD_CAS Access to Rank 7; Bank 10
UNC_M_RD_CAS_RANK7.BANK11,RD_CAS Access to Rank 7; Bank 11
UNC_M_RD_CAS_RANK7.BANK12,RD_CAS Access to Rank 7; Bank 12
UNC_M_RD_CAS_RANK7.BANK13,RD_CAS Access to Rank 7; Bank 13
UNC_M_RD_CAS_RANK7.BANK14,RD_CAS Access to Rank 7; Bank 14
UNC_M_RD_CAS_RANK7.BANK15,RD_CAS Access to Rank 7; Bank 15
UNC_M_RD_CAS_RANK7.BANK2,RD_CAS Access to Rank 7; Bank 2
UNC_M_RD_CAS_RANK7.BANK3,RD_CAS Access to Rank 7; Bank 3
UNC_M_RD_CAS_RANK7.BANK4,RD_CAS Access to Rank 7; Bank 4
UNC_M_RD_CAS_RANK7.BANK5,RD_CAS Access to Rank 7; Bank 5
UNC_M_RD_CAS_RANK7.BANK6,RD_CAS Access to Rank 7; Bank 6
UNC_M_RD_CAS_RANK7.BANK7,RD_CAS Access to Rank 7; Bank 7
UNC_M_RD_CAS_RANK7.BANK8,RD_CAS Access to Rank 7; Bank 8
UNC_M_RD_CAS_RANK7.BANK9,RD_CAS Access to Rank 7; Bank 9
UNC_M_RD_CAS_RANK7.BANKG0,RD_CAS Access to Rank 7; Bank Group 0 (Banks 0-3)
UNC_M_RD_CAS_RANK7.BANKG1,RD_CAS Access to Rank 7; Bank Group 1 (Banks 4-7)
UNC_M_RD_CAS_RANK7.BANKG2,RD_CAS Access to Rank 7; Bank Group 2 (Banks 8-11)
UNC_M_RD_CAS_RANK7.BANKG3,RD_CAS Access to Rank 7; Bank Group 3 (Banks 12-15)
UNC_M_RPQ_CYCLES_NE,"Counts the number of cycles that the Read Pending Queue is not empty.  This can then be used to calculate the average occupancy (in conjunction with the Read Pending Queue Occupancy count).  The RPQ is used to schedule reads out to the memory controller and to track the requests.  Requests allocate into the RPQ soon after they enter the memory controller, and need credits for an entry in this buffer before being sent from the HA to the iMC.  They deallocate after the CAS command has been issued to memory.  This filter is to be used in conjunction with the occupancy filter so that one can correctly track the average occupancies for schedulable entries and scheduled requests."
UNC_M_RPQ_INSERTS,"Counts the number of allocations into the Read Pending Queue.  This queue is used to schedule reads out to the memory controller and to track the requests.  Requests allocate into the RPQ soon after they enter the memory controller, and need credits for an entry in this buffer before being sent from the HA to the iMC.  They deallocate after the CAS command has been issued to memory.  This includes both ISOCH and non-ISOCH requests."
UNC_M_VMSE_MXB_WR_OCCUPANCY,VMSE MXB write buffer occupancy
UNC_M_VMSE_WR_PUSH.RMM,VMSE WR PUSH issued; VMSE write PUSH issued in RMM
UNC_M_VMSE_WR_PUSH.WMM,VMSE WR PUSH issued; VMSE write PUSH issued in WMM
UNC_M_WMM_TO_RMM.LOW_THRESH,Transition from WMM to RMM because of low threshold; Transition from WMM to RMM because of starve counter
UNC_M_WMM_TO_RMM.STARVE,Transition from WMM to RMM because of low threshold
UNC_M_WMM_TO_RMM.VMSE_RETRY,Transition from WMM to RMM because of low threshold
UNC_M_WPQ_CYCLES_FULL,"Counts the number of cycles when the Write Pending Queue is full.  When the WPQ is full, the HA will not be able to issue any additional read requests into the iMC.  This count should be similar count in the HA which tracks the number of cycles that the HA has no WPQ credits, just somewhat smaller to account for the credit return overhead."
UNC_M_WPQ_CYCLES_NE,"Counts the number of cycles that the Write Pending Queue is not empty.  This can then be used to calculate the average queue occupancy (in conjunction with the WPQ Occupancy Accumulation count).  The WPQ is used to schedule write out to the memory controller and to track the writes.  Requests allocate into the WPQ soon after they enter the memory controller, and need credits for an entry in this buffer before being sent from the HA to the iMC.  They deallocate after being issued to DRAM.  Write requests themselves are able to complete (from the perspective of the rest of the system) as soon they have ""posted"" to the iMC.  This is not to be confused with actually performing the write to DRAM.  Therefore, the average latency for this queue is actually not useful for deconstruction intermediate write latencies."
UNC_M_WPQ_READ_HIT,"Counts the number of times a request hits in the WPQ (write-pending queue).  The iMC allows writes and reads to pass up other writes to different addresses.  Before a read or a write is issued, it will first CAM the WPQ to see if there is a write pending to that address.  When reads hit, they are able to directly pull their data from the WPQ instead of going to memory.  Writes that hit will overwrite the existing data.  Partial writes that hit will not need to do underfill reads and will simply update their relevant sections."
UNC_M_WPQ_WRITE_HIT,"Counts the number of times a request hits in the WPQ (write-pending queue).  The iMC allows writes and reads to pass up other writes to different addresses.  Before a read or a write is issued, it will first CAM the WPQ to see if there is a write pending to that address.  When reads hit, they are able to directly pull their data from the WPQ instead of going to memory.  Writes that hit will overwrite the existing data.  Partial writes that hit will not need to do underfill reads and will simply update their relevant sections."
UNC_M_WR_CAS_RANK0.ALLBANKS,WR_CAS Access to Rank 0; All Banks
UNC_M_WR_CAS_RANK0.BANK0,WR_CAS Access to Rank 0; Bank 0
UNC_M_WR_CAS_RANK0.BANK1,WR_CAS Access to Rank 0; Bank 1
UNC_M_WR_CAS_RANK0.BANK10,WR_CAS Access to Rank 0; Bank 10
UNC_M_WR_CAS_RANK0.BANK11,WR_CAS Access to Rank 0; Bank 11
UNC_M_WR_CAS_RANK0.BANK12,WR_CAS Access to Rank 0; Bank 12
UNC_M_WR_CAS_RANK0.BANK13,WR_CAS Access to Rank 0; Bank 13
UNC_M_WR_CAS_RANK0.BANK14,WR_CAS Access to Rank 0; Bank 14
UNC_M_WR_CAS_RANK0.BANK15,WR_CAS Access to Rank 0; Bank 15
UNC_M_WR_CAS_RANK0.BANK2,WR_CAS Access to Rank 0; Bank 2
UNC_M_WR_CAS_RANK0.BANK3,WR_CAS Access to Rank 0; Bank 3
UNC_M_WR_CAS_RANK0.BANK4,WR_CAS Access to Rank 0; Bank 4
UNC_M_WR_CAS_RANK0.BANK5,WR_CAS Access to Rank 0; Bank 5
UNC_M_WR_CAS_RANK0.BANK6,WR_CAS Access to Rank 0; Bank 6
UNC_M_WR_CAS_RANK0.BANK7,WR_CAS Access to Rank 0; Bank 7
UNC_M_WR_CAS_RANK0.BANK8,WR_CAS Access to Rank 0; Bank 8
UNC_M_WR_CAS_RANK0.BANK9,WR_CAS Access to Rank 0; Bank 9
UNC_M_WR_CAS_RANK0.BANKG0,WR_CAS Access to Rank 0; Bank Group 0 (Banks 0-3)
UNC_M_WR_CAS_RANK0.BANKG1,WR_CAS Access to Rank 0; Bank Group 1 (Banks 4-7)
UNC_M_WR_CAS_RANK0.BANKG2,WR_CAS Access to Rank 0; Bank Group 2 (Banks 8-11)
UNC_M_WR_CAS_RANK0.BANKG3,WR_CAS Access to Rank 0; Bank Group 3 (Banks 12-15)
UNC_M_WR_CAS_RANK1.ALLBANKS,WR_CAS Access to Rank 1; All Banks
UNC_M_WR_CAS_RANK1.BANK0,WR_CAS Access to Rank 1; Bank 0
UNC_M_WR_CAS_RANK1.BANK1,WR_CAS Access to Rank 1; Bank 1
UNC_M_WR_CAS_RANK1.BANK10,WR_CAS Access to Rank 1; Bank 10
UNC_M_WR_CAS_RANK1.BANK11,WR_CAS Access to Rank 1; Bank 11
UNC_M_WR_CAS_RANK1.BANK12,WR_CAS Access to Rank 1; Bank 12
UNC_M_WR_CAS_RANK1.BANK13,WR_CAS Access to Rank 1; Bank 13
UNC_M_WR_CAS_RANK1.BANK14,WR_CAS Access to Rank 1; Bank 14
UNC_M_WR_CAS_RANK1.BANK15,WR_CAS Access to Rank 1; Bank 15
UNC_M_WR_CAS_RANK1.BANK2,WR_CAS Access to Rank 1; Bank 2
UNC_M_WR_CAS_RANK1.BANK3,WR_CAS Access to Rank 1; Bank 3
UNC_M_WR_CAS_RANK1.BANK4,WR_CAS Access to Rank 1; Bank 4
UNC_M_WR_CAS_RANK1.BANK5,WR_CAS Access to Rank 1; Bank 5
UNC_M_WR_CAS_RANK1.BANK6,WR_CAS Access to Rank 1; Bank 6
UNC_M_WR_CAS_RANK1.BANK7,WR_CAS Access to Rank 1; Bank 7
UNC_M_WR_CAS_RANK1.BANK8,WR_CAS Access to Rank 1; Bank 8
UNC_M_WR_CAS_RANK1.BANK9,WR_CAS Access to Rank 1; Bank 9
UNC_M_WR_CAS_RANK1.BANKG0,WR_CAS Access to Rank 1; Bank Group 0 (Banks 0-3)
UNC_M_WR_CAS_RANK1.BANKG1,WR_CAS Access to Rank 1; Bank Group 1 (Banks 4-7)
UNC_M_WR_CAS_RANK1.BANKG2,WR_CAS Access to Rank 1; Bank Group 2 (Banks 8-11)
UNC_M_WR_CAS_RANK1.BANKG3,WR_CAS Access to Rank 1; Bank Group 3 (Banks 12-15)
UNC_M_WR_CAS_RANK4.ALLBANKS,WR_CAS Access to Rank 4; All Banks
UNC_M_WR_CAS_RANK4.BANK0,WR_CAS Access to Rank 4; Bank 0
UNC_M_WR_CAS_RANK4.BANK1,WR_CAS Access to Rank 4; Bank 1
UNC_M_WR_CAS_RANK4.BANK10,WR_CAS Access to Rank 4; Bank 10
UNC_M_WR_CAS_RANK4.BANK11,WR_CAS Access to Rank 4; Bank 11
UNC_M_WR_CAS_RANK4.BANK12,WR_CAS Access to Rank 4; Bank 12
UNC_M_WR_CAS_RANK4.BANK13,WR_CAS Access to Rank 4; Bank 13
UNC_M_WR_CAS_RANK4.BANK14,WR_CAS Access to Rank 4; Bank 14
UNC_M_WR_CAS_RANK4.BANK15,WR_CAS Access to Rank 4; Bank 15
UNC_M_WR_CAS_RANK4.BANK2,WR_CAS Access to Rank 4; Bank 2
UNC_M_WR_CAS_RANK4.BANK3,WR_CAS Access to Rank 4; Bank 3
UNC_M_WR_CAS_RANK4.BANK4,WR_CAS Access to Rank 4; Bank 4
UNC_M_WR_CAS_RANK4.BANK5,WR_CAS Access to Rank 4; Bank 5
UNC_M_WR_CAS_RANK4.BANK6,WR_CAS Access to Rank 4; Bank 6
UNC_M_WR_CAS_RANK4.BANK7,WR_CAS Access to Rank 4; Bank 7
UNC_M_WR_CAS_RANK4.BANK8,WR_CAS Access to Rank 4; Bank 8
UNC_M_WR_CAS_RANK4.BANK9,WR_CAS Access to Rank 4; Bank 9
UNC_M_WR_CAS_RANK4.BANKG0,WR_CAS Access to Rank 4; Bank Group 0 (Banks 0-3)
UNC_M_WR_CAS_RANK4.BANKG1,WR_CAS Access to Rank 4; Bank Group 1 (Banks 4-7)
UNC_M_WR_CAS_RANK4.BANKG2,WR_CAS Access to Rank 4; Bank Group 2 (Banks 8-11)
UNC_M_WR_CAS_RANK4.BANKG3,WR_CAS Access to Rank 4; Bank Group 3 (Banks 12-15)
UNC_M_WR_CAS_RANK5.ALLBANKS,WR_CAS Access to Rank 5; All Banks
UNC_M_WR_CAS_RANK5.BANK0,WR_CAS Access to Rank 5; Bank 0
UNC_M_WR_CAS_RANK5.BANK1,WR_CAS Access to Rank 5; Bank 1
UNC_M_WR_CAS_RANK5.BANK10,WR_CAS Access to Rank 5; Bank 10
UNC_M_WR_CAS_RANK5.BANK11,WR_CAS Access to Rank 5; Bank 11
UNC_M_WR_CAS_RANK5.BANK12,WR_CAS Access to Rank 5; Bank 12
UNC_M_WR_CAS_RANK5.BANK13,WR_CAS Access to Rank 5; Bank 13
UNC_M_WR_CAS_RANK5.BANK14,WR_CAS Access to Rank 5; Bank 14
UNC_M_WR_CAS_RANK5.BANK15,WR_CAS Access to Rank 5; Bank 15
UNC_M_WR_CAS_RANK5.BANK2,WR_CAS Access to Rank 5; Bank 2
UNC_M_WR_CAS_RANK5.BANK3,WR_CAS Access to Rank 5; Bank 3
UNC_M_WR_CAS_RANK5.BANK4,WR_CAS Access to Rank 5; Bank 4
UNC_M_WR_CAS_RANK5.BANK5,WR_CAS Access to Rank 5; Bank 5
UNC_M_WR_CAS_RANK5.BANK6,WR_CAS Access to Rank 5; Bank 6
UNC_M_WR_CAS_RANK5.BANK7,WR_CAS Access to Rank 5; Bank 7
UNC_M_WR_CAS_RANK5.BANK8,WR_CAS Access to Rank 5; Bank 8
UNC_M_WR_CAS_RANK5.BANK9,WR_CAS Access to Rank 5; Bank 9
UNC_M_WR_CAS_RANK5.BANKG0,WR_CAS Access to Rank 5; Bank Group 0 (Banks 0-3)
UNC_M_WR_CAS_RANK5.BANKG1,WR_CAS Access to Rank 5; Bank Group 1 (Banks 4-7)
UNC_M_WR_CAS_RANK5.BANKG2,WR_CAS Access to Rank 5; Bank Group 2 (Banks 8-11)
